x,y,z,x_dot,y_dot,z_dot,roll,pitch,yaw,roll_dot,pitch_dot,yaw_dot,n0,n1,n2,n3,mot0,mot1,mot2,mot3,bat,time
-1.835632324218750000e-02,-3.402709960937500000e-02,1.136718750000000000e+00,2.810668945312500000e-02,8.062744140625000000e-02,-1.292419433593750000e-02,-7.648468017578125000e-03,3.236770629882812500e-03,3.091430664062500000e-02,2.595214843750000000e-01,1.697998046875000000e-01,1.318359375000000000e-01,-4.931640625000000000e-01,-8.935546875000000000e-02,-2.519531250000000000e-01,1.358398437500000000e+00,2.048000000000000000e+04,3.379200000000000000e+04,2.867200000000000000e+04,5.504000000000000000e+04,3.509765625000000000e+00,2.000427246093750000e-02
-1.806640625000000000e-02,-3.323364257812500000e-02,1.136718750000000000e+00,2.841186523437500000e-02,8.142089843750000000e-02,-1.069641113281250000e-02,-5.062103271484375000e-03,5.187988281250000000e-03,3.305053710937500000e-02,2.264404296875000000e-01,2.539062500000000000e-01,5.590820312500000000e-01,-5.991210937500000000e-01,1.090820312500000000e+00,2.053222656250000000e-01,8.135986328125000000e-02,1.664000000000000000e+04,5.504000000000000000e+04,4.147200000000000000e+04,3.840000000000000000e+04,3.509765625000000000e+00,2.999877929687500000e-02
2.085876464843750000e-02,-8.874511718750000000e-02,1.136718750000000000e+00,7.659912109375000000e-02,1.483154296875000000e-02,-8.720397949218750000e-03,2.298355102539062500e-03,1.068115234375000000e-02,4.992675781250000000e-02,2.978515625000000000e-01,2.391357421875000000e-01,8.837890625000000000e-01,-2.595214843750000000e-01,-1.207885742187500000e-01,-8.164062500000000000e-01,1.303710937500000000e+00,2.841600000000000000e+04,3.251200000000000000e+04,7.936000000000000000e+03,5.452800000000000000e+04,3.531250000000000000e+00,4.000854492187500000e-02
2.058410644531250000e-02,-8.538818359375000000e-02,1.137695312500000000e+00,7.629394531250000000e-02,1.846313476562500000e-02,-6.384849548339843750e-04,5.657196044921875000e-03,1.312255859375000000e-02,5.892944335937500000e-02,4.096679687500000000e-01,3.457031250000000000e-01,1.189453125000000000e+00,-1.437988281250000000e-01,1.140625000000000000e+00,4.275512695312500000e-02,-8.007812500000000000e-02,3.174400000000000000e+04,5.452800000000000000e+04,3.712000000000000000e+04,3.379200000000000000e+04,3.531250000000000000e+00,4.998779296875000000e-02
2.172851562500000000e-02,-8.557128906250000000e-02,1.137695312500000000e+00,7.812500000000000000e-02,1.756286621093750000e-02,-6.251335144042968750e-04,1.033782958984375000e-02,1.623535156250000000e-02,7.147216796875000000e-02,5.458984375000000000e-01,3.317871093750000000e-01,1.503906250000000000e+00,-5.366210937500000000e-01,-1.441192626953125000e-02,-7.285156250000000000e-01,1.455078125000000000e+00,1.868800000000000000e+04,3.532800000000000000e+04,1.126400000000000000e+04,5.427200000000000000e+04,3.546875000000000000e+00,5.999755859375000000e-02
2.349853515625000000e-02,-8.428955078125000000e-02,1.137695312500000000e+00,8.093261718750000000e-02,1.805114746093750000e-02,-1.280784606933593750e-03,1.622009277343750000e-02,1.884460449218750000e-02,8.697509765625000000e-02,5.781250000000000000e-01,3.137207031250000000e-01,1.778320312500000000e+00,8.929443359375000000e-02,6.972656250000000000e-01,6.878662109375000000e-02,-7.983398437500000000e-02,3.840000000000000000e+04,5.094400000000000000e+04,3.788800000000000000e+04,3.379200000000000000e+04,3.531250000000000000e+00,7.000732421875000000e-02
2.555847167968750000e-02,-8.618164062500000000e-02,1.137695312500000000e+00,8.435058593750000000e-02,1.435852050781250000e-02,-9.300231933593750000e-03,2.265930175781250000e-02,2.125549316406250000e-02,1.057739257812500000e-01,6.547851562500000000e-01,2.274169921875000000e-01,2.068359375000000000e+00,-6.821289062500000000e-01,1.704101562500000000e-01,-7.226562500000000000e-01,9.331054687500000000e-01,1.305600000000000000e+04,4.019200000000000000e+04,1.152000000000000000e+04,5.350400000000000000e+04,3.558593750000000000e+00,8.001708984375000000e-02
2.485656738281250000e-02,-8.544921875000000000e-02,1.137695312500000000e+00,8.459472656250000000e-02,1.328277587890625000e-02,-1.638793945312500000e-02,2.949523925781250000e-02,2.253723144531250000e-02,1.264648437500000000e-01,6.718750000000000000e-01,1.463623046875000000e-01,2.255859375000000000e+00,4.455566406250000000e-02,3.544921875000000000e-01,-1.232299804687500000e-01,-9.686279296875000000e-02,3.686400000000000000e+04,4.428800000000000000e+04,3.225600000000000000e+04,3.302400000000000000e+04,3.558593750000000000e+00,9.002685546875000000e-02
2.641296386718750000e-02,-8.813476562500000000e-02,1.135742187500000000e+00,8.807373046875000000e-02,7.518768310546875000e-03,-3.271484375000000000e-02,3.689575195312500000e-02,2.304077148437500000e-02,1.500244140625000000e-01,6.577148437500000000e-01,-8.056640625000000000e-03,2.541015625000000000e+00,-6.508789062500000000e-01,2.661132812500000000e-01,-6.015625000000000000e-01,4.135742187500000000e-01,1.433600000000000000e+04,4.249600000000000000e+04,1.638400000000000000e+04,4.556800000000000000e+04,3.546875000000000000e+00,9.997558593750000000e-02
2.954101562500000000e-02,-9.167480468750000000e-02,1.134765625000000000e+00,9.344482421875000000e-02,5.106925964355468750e-04,-4.394531250000000000e-02,4.486083984375000000e-02,2.221679687500000000e-02,1.762695312500000000e-01,6.899414062500000000e-01,-1.188354492187500000e-01,2.681640625000000000e+00,6.939697265625000000e-02,5.508422851562500000e-02,-2.744140625000000000e-01,1.519775390625000000e-01,3.763200000000000000e+04,3.712000000000000000e+04,2.764800000000000000e+04,3.968000000000000000e+04,3.562500000000000000e+00,1.099853515625000000e-01
