x,y,z,x_dot,y_dot,z_dot,roll,pitch,yaw,roll_dot,pitch_dot,yaw_dot,n0,n1,n2,n3,mot0,mot1,mot2,mot3,bat,time
-1.908874511718750000e-02,-1.929283142089843750e-03,1.037109375000000000e+00,-3.091430664062500000e-02,3.137207031250000000e-02,-3.543090820312500000e-02,-4.428863525390625000e-03,1.180267333984375000e-02,2.567291259765625000e-03,2.166748046875000000e-01,3.222656250000000000e-01,-1.765441894531250000e-02,6.508789062500000000e-01,-2.556152343750000000e-01,-2.388916015625000000e-01,7.832031250000000000e-01,5.222400000000000000e+04,2.969600000000000000e+04,3.020800000000000000e+04,5.427200000000000000e+04,3.394531250000000000e+00,1.000213623046875000e-02
-1.742553710937500000e-02,-4.386901855468750000e-03,1.039062500000000000e+00,-2.665710449218750000e-02,2.752685546875000000e-02,-2.064514160156250000e-02,-1.422882080078125000e-03,1.471710205078125000e-02,2.538681030273437500e-03,1.612548828125000000e-01,2.861328125000000000e-01,-2.740859985351562500e-03,4.501342773437500000e-02,3.620605468750000000e-01,-3.051757812500000000e-01,2.167968750000000000e-01,3.865600000000000000e+04,4.659200000000000000e+04,2.790400000000000000e+04,4.326400000000000000e+04,3.394531250000000000e+00,2.000427246093750000e-02
-1.852416992187500000e-02,-1.367330551147460938e-04,1.039062500000000000e+00,-2.645874023437500000e-02,3.375244140625000000e-02,-2.070617675781250000e-02,1.705884933471679688e-04,1.731872558593750000e-02,2.281188964843750000e-03,1.240234375000000000e-01,1.766967773437500000e-02,6.439208984375000000e-02,1.724853515625000000e-01,2.966308593750000000e-01,3.232421875000000000e-01,1.773681640625000000e-01,4.198400000000000000e+04,4.505600000000000000e+04,4.556800000000000000e+04,4.198400000000000000e+04,3.404296875000000000e+00,2.999877929687500000e-02
-1.824951171875000000e-02,-1.358032226562500000e-03,1.039062500000000000e+00,-2.394104003906250000e-02,3.134155273437500000e-02,-1.910400390625000000e-02,1.583099365234375000e-03,1.875305175781250000e-02,2.635955810546875000e-03,4.623413085937500000e-02,-3.178710937500000000e-01,1.826171875000000000e-01,-3.012695312500000000e-01,2.561035156250000000e-01,6.533203125000000000e-01,-2.370605468750000000e-01,2.764800000000000000e+04,4.352000000000000000e+04,5.145600000000000000e+04,2.969600000000000000e+04,3.435546875000000000e+00,4.000854492187500000e-02
-1.818847656250000000e-02,-1.255989074707031250e-03,1.039062500000000000e+00,-2.166748046875000000e-02,3.088378906250000000e-02,-2.027893066406250000e-02,2.326965332031250000e-03,1.692199707031250000e-02,4.127502441406250000e-03,-3.579711914062500000e-02,-5.000000000000000000e-01,1.794433593750000000e-01,-2.377929687500000000e-01,2.358398437500000000e-01,7.021484375000000000e-01,-3.398437500000000000e-01,2.969600000000000000e+04,4.326400000000000000e+04,5.222400000000000000e+04,2.636800000000000000e+04,3.435546875000000000e+00,4.998779296875000000e-02
-2.070617675781250000e-02,3.997802734375000000e-03,1.038085937500000000e+00,-2.354431152343750000e-02,3.829956054687500000e-02,-2.334594726562500000e-02,1.821517944335937500e-03,1.265716552734375000e-02,6.095886230468750000e-03,-6.240844726562500000e-02,-5.488281250000000000e-01,1.580810546875000000e-01,-3.737792968750000000e-01,2.404785156250000000e-01,8.017578125000000000e-01,-3.090820312500000000e-01,2.508800000000000000e+04,4.275200000000000000e+04,5.324800000000000000e+04,2.713600000000000000e+04,3.468750000000000000e+00,5.999755859375000000e-02
-2.091979980468750000e-02,5.545616149902343750e-04,1.038085937500000000e+00,-2.235412597656250000e-02,3.222656250000000000e-02,-2.461242675781250000e-02,1.676559448242187500e-03,7.774353027343750000e-03,8.026123046875000000e-03,-1.554107666015625000e-02,-3.029785156250000000e-01,9.631347656250000000e-02,1.391601562500000000e-01,5.847167968750000000e-02,3.994140625000000000e-01,-1.412353515625000000e-01,4.019200000000000000e+04,3.814400000000000000e+04,4.633600000000000000e+04,3.251200000000000000e+04,3.472656250000000000e+00,7.000732421875000000e-02
-2.113342285156250000e-02,8.764266967773437500e-04,1.038085937500000000e+00,-2.160644531250000000e-02,3.207397460937500000e-02,-2.911376953125000000e-02,1.430511474609375000e-03,4.108428955078125000e-03,9.346008300781250000e-03,1.037597656250000000e-01,1.326904296875000000e-01,5.905151367187500000e-02,4.689941406250000000e-01,4.693603515625000000e-02,-7.092285156250000000e-02,2.739257812500000000e-01,4.761600000000000000e+04,3.788800000000000000e+04,3.456000000000000000e+04,4.352000000000000000e+04,3.484375000000000000e+00,8.001708984375000000e-02
-1.308441162109375000e-02,-2.830505371093750000e-03,1.037109375000000000e+00,-8.369445800781250000e-03,2.572631835937500000e-02,-3.222656250000000000e-02,2.452850341796875000e-03,4.127502441406250000e-03,1.016998291015625000e-02,2.464599609375000000e-01,5.629882812500000000e-01,1.521110534667968750e-03,9.829101562500000000e-01,-8.099365234375000000e-02,-6.552734375000000000e-01,9.599609375000000000e-01,5.529600000000000000e+04,3.430400000000000000e+04,1.459200000000000000e+04,5.504000000000000000e+04,3.484375000000000000e+00,9.002685546875000000e-02
-1.197052001953125000e-02,-2.250671386718750000e-04,1.038085937500000000e+00,-6.088256835937500000e-03,2.912902832031250000e-02,-3.378295898437500000e-02,4.432678222656250000e-03,7.461547851562500000e-03,1.026916503906250000e-02,3.935546875000000000e-01,7.983398437500000000e-01,3.650665283203125000e-03,7.514648437500000000e-01,6.103515625000000000e-02,-9.301757812500000000e-01,8.657226562500000000e-01,5.222400000000000000e+04,3.814400000000000000e+04,3.072000000000000000e+03,5.376000000000000000e+04,3.484375000000000000e+00,9.997558593750000000e-02
-1.097106933593750000e-02,-1.983642578125000000e-03,1.037109375000000000e+00,-3.803253173828125000e-03,2.557373046875000000e-02,-3.909301757812500000e-02,7.995605468750000000e-03,1.449584960937500000e-02,1.049804687500000000e-02,4.211425781250000000e-01,7.495117187500000000e-01,1.420898437500000000e-01,8.408203125000000000e-01,1.522216796875000000e-01,-5.693359375000000000e-01,6.000976562500000000e-01,5.350400000000000000e+04,4.044800000000000000e+04,1.792000000000000000e+04,4.992000000000000000e+04,3.484375000000000000e+00,1.099853515625000000e-01
-1.070404052734375000e-02,-3.978729248046875000e-03,1.037109375000000000e+00,-2.080917358398437500e-03,2.139282226562500000e-02,-4.513549804687500000e-02,1.233673095703125000e-02,2.230834960937500000e-02,1.121520996093750000e-02,4.138183593750000000e-01,3.447265625000000000e-01,2.592773437500000000e-01,6.425781250000000000e-01,3.237304687500000000e-01,-2.692871093750000000e-01,1.864013671875000000e-01,5.171200000000000000e+04,4.556800000000000000e+04,2.892800000000000000e+04,4.224000000000000000e+04,3.410156250000000000e+00,1.199951171875000000e-01
-1.266479492187500000e-02,-6.935119628906250000e-03,1.036132812500000000e+00,-3.126144409179687500e-03,1.538085937500000000e-02,-4.998779296875000000e-02,1.702880859375000000e-02,2.737426757812500000e-02,1.330566406250000000e-02,3.200683593750000000e-01,-3.317871093750000000e-01,3.146972656250000000e-01,7.611083984375000000e-02,7.114257812500000000e-01,4.313964843750000000e-01,-6.435546875000000000e-01,3.968000000000000000e+04,5.324800000000000000e+04,4.812800000000000000e+04,1.536000000000000000e+04,3.388671875000000000e+00,1.300048828125000000e-01
-1.417541503906250000e-02,-1.264572143554687500e-03,1.036132812500000000e+00,-2.685546875000000000e-03,2.233886718750000000e-02,-5.081176757812500000e-02,2.043151855468750000e-02,2.732849121093750000e-02,1.594543457031250000e-02,7.818603515625000000e-02,-1.051757812500000000e+00,3.701171875000000000e-01,-6.953125000000000000e-01,7.358398437500000000e-01,1.247070312500000000e+00,-7.158203125000000000e-01,1.331200000000000000e+04,5.324800000000000000e+04,5.657600000000000000e+04,1.228800000000000000e+04,3.410156250000000000e+00,1.400146484375000000e-01
-1.478576660156250000e-02,-3.912448883056640625e-04,1.036132812500000000e+00,-9.241104125976562500e-04,2.143859863281250000e-02,-5.026245117187500000e-02,2.287292480468750000e-02,2.099609375000000000e-02,1.905822753906250000e-02,-1.827392578125000000e-01,-1.400390625000000000e+00,3.891601562500000000e-01,-1.044921875000000000e+00,6.684570312500000000e-01,1.430664062500000000e+00,-9.516601562500000000e-01,0.000000000000000000e+00,5.196800000000000000e+04,5.632000000000000000e+04,2.048000000000000000e+03,3.425781250000000000e+00,1.500244140625000000e-01
-1.367187500000000000e-02,1.978874206542968750e-05,1.035156250000000000e+00,2.929687500000000000e-03,1.957702636718750000e-02,-5.108642578125000000e-02,2.262878417968750000e-02,9.407043457031250000e-03,2.253723144531250000e-02,-4.619140625000000000e-01,-1.420898437500000000e+00,3.466796875000000000e-01,-9.375000000000000000e-01,2.995605468750000000e-01,1.467773437500000000e+00,-7.255859375000000000e-01,2.816000000000000000e+03,4.480000000000000000e+04,5.657600000000000000e+04,1.203200000000000000e+04,3.416015625000000000e+00,1.600341796875000000e-01
-1.530456542968750000e-02,2.956390380859375000e-03,1.035156250000000000e+00,1.340866088867187500e-03,2.168273925781250000e-02,-5.227661132812500000e-02,1.902770996093750000e-02,-4.451751708984375000e-03,2.555847167968750000e-02,-7.431640625000000000e-01,-8.813476562500000000e-01,2.956542968750000000e-01,-6.225585937500000000e-01,-2.673339843750000000e-01,1.313476562500000000e+00,-4.092407226562500000e-02,1.612800000000000000e+04,2.892800000000000000e+04,5.657600000000000000e+04,3.609600000000000000e+04,3.416015625000000000e+00,1.700439453125000000e-01
