x,y,z,x_dot,y_dot,z_dot,roll,pitch,yaw,roll_dot,pitch_dot,yaw_dot,n0,n1,n2,n3,mot0,mot1,mot2,mot3,bat,time
-2.029418945312500000e-02,9.170532226562500000e-03,1.014648437500000000e+00,2.995300292968750000e-02,-4.782104492187500000e-02,4.848480224609375000e-03,2.189636230468750000e-03,4.341125488281250000e-03,8.087158203125000000e-03,-3.936767578125000000e-02,1.058959960937500000e-01,-1.171875000000000000e-02,7.699218750000000000e+00,-1.375976562500000000e+00,4.781250000000000000e+00,4.218750000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.537109375000000000e+00,2.000427246093750000e-02
-1.998901367187500000e-02,8.689880371093750000e-03,1.014648437500000000e+00,3.039550781250000000e-02,-4.803466796875000000e-02,8.293151855468750000e-03,2.380371093750000000e-03,4.570007324218750000e-03,7.896423339843750000e-03,4.370117187500000000e-02,1.644287109375000000e-01,5.325317382812500000e-02,5.300781250000000000e+00,7.416992187500000000e-01,3.861328125000000000e+00,-2.498046875000000000e+00,5.222400000000000000e+04,5.427200000000000000e+04,5.145600000000000000e+04,4.659200000000000000e+04,3.652343750000000000e+00,2.999877929687500000e-02
-2.226257324218750000e-02,8.148193359375000000e-03,1.014648437500000000e+00,2.728271484375000000e-02,-4.840087890625000000e-02,4.501342773437500000e-03,2.849578857421875000e-03,4.608154296875000000e-03,8.514404296875000000e-03,2.134704589843750000e-02,-8.102416992187500000e-03,2.012939453125000000e-01,-5.395507812500000000e-01,-5.039062500000000000e-01,2.119140625000000000e+00,1.514648437500000000e+00,5.248000000000000000e+04,5.120000000000000000e+04,5.580800000000000000e+04,5.068800000000000000e+04,3.552734375000000000e+00,4.000854492187500000e-02
-2.198791503906250000e-02,7.659912109375000000e-03,1.014648437500000000e+00,2.767944335937500000e-02,-4.864501953125000000e-02,-6.423950195312500000e-03,2.475738525390625000e-03,4.962921142578125000e-03,9.918212890625000000e-03,-5.535888671875000000e-02,3.131103515625000000e-02,2.438964843750000000e-01,1.141601562500000000e+00,-2.162109375000000000e+00,1.818359375000000000e+00,1.416015625000000000e+00,6.400000000000000000e+03,3.609600000000000000e+04,1.740800000000000000e+04,1.408000000000000000e+04,3.404296875000000000e+00,5.099487304687500000e-02
-1.800537109375000000e-02,6.484985351562500000e-03,1.015625000000000000e+00,3.323364257812500000e-02,-4.968261718750000000e-02,-6.252288818359375000e-03,2.317428588867187500e-03,6.862640380859375000e-03,1.264190673828125000e-02,-1.607666015625000000e-01,3.850097656250000000e-01,4.079589843750000000e-01,-5.004882812500000000e-02,-1.893310546875000000e-01,1.553955078125000000e-01,-1.568359375000000000e+00,5.606400000000000000e+04,5.836800000000000000e+04,5.376000000000000000e+04,5.376000000000000000e+04,3.404296875000000000e+00,5.999755859375000000e-02
-1.817321777343750000e-02,7.022857666015625000e-03,1.015625000000000000e+00,3.323364257812500000e-02,-4.846191406250000000e-02,-3.303527832031250000e-03,1.616477966308593750e-03,9.750366210937500000e-03,1.684570312500000000e-02,-2.663574218750000000e-01,4.648437500000000000e-01,5.751953125000000000e-01,-6.040039062500000000e-01,-2.119140625000000000e+00,2.351562500000000000e+00,3.256835937500000000e-01,4.249600000000000000e+04,1.894400000000000000e+04,4.172800000000000000e+04,2.508800000000000000e+04,3.673828125000000000e+00,7.000732421875000000e-02
-1.544952392578125000e-02,7.244110107421875000e-03,1.015625000000000000e+00,3.747558593750000000e-02,-4.754638671875000000e-02,-3.318786621093750000e-03,-6.771087646484375000e-04,1.371765136718750000e-02,2.220153808593750000e-02,-2.247314453125000000e-01,4.926757812500000000e-01,5.390625000000000000e-01,2.058593750000000000e+00,-1.502929687500000000e+00,4.492187500000000000e-01,-5.717773437500000000e-01,2.252800000000000000e+04,2.560000000000000000e+04,1.408000000000000000e+04,4.096000000000000000e+03,3.382812500000000000e+00,8.001708984375000000e-02
-1.543426513671875000e-02,5.405426025390625000e-03,1.015625000000000000e+00,3.814697265625000000e-02,-4.940795898437500000e-02,-1.235961914062500000e-02,-3.454208374023437500e-03,1.918029785156250000e-02,2.745056152343750000e-02,-5.209960937500000000e-01,6.108398437500000000e-01,5.825195312500000000e-01,-1.208984375000000000e+00,-9.638671875000000000e-01,7.734375000000000000e-01,-1.033203125000000000e+00,5.427200000000000000e+04,4.915200000000000000e+04,5.350400000000000000e+04,5.017600000000000000e+04,3.648437500000000000e+00,9.002685546875000000e-02
-1.336669921875000000e-02,8.697509765625000000e-03,1.014648437500000000e+00,4.199218750000000000e-02,-4.376220703125000000e-02,-2.478027343750000000e-02,-8.567810058593750000e-03,2.621459960937500000e-02,3.292846679687500000e-02,-8.212890625000000000e-01,8.886718750000000000e-01,5.654296875000000000e-01,4.355468750000000000e-01,-1.766601562500000000e+00,5.922851562500000000e-01,1.661376953125000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+00,1.010131835937500000e-01
-1.319122314453125000e-02,1.075744628906250000e-02,1.014648437500000000e+00,4.391479492187500000e-02,-3.939819335937500000e-02,-3.092956542968750000e-02,-1.585388183593750000e-02,3.353881835937500000e-02,3.881835937500000000e-02,-8.178710937500000000e-01,9.316406250000000000e-01,7.294921875000000000e-01,1.895507812500000000e+00,-8.696289062500000000e-01,4.470214843750000000e-01,-1.042968750000000000e+00,4.710400000000000000e+04,4.147200000000000000e+04,4.505600000000000000e+04,4.198400000000000000e+04,3.710937500000000000e+00,1.099853515625000000e-01
