x,y,z,x_dot,y_dot,z_dot,roll,pitch,yaw,roll_dot,pitch_dot,yaw_dot,n0,n1,n2,n3,mot0,mot1,mot2,mot3,bat,time
-1.200675964355468750e-03,6.713867187500000000e-03,9.965820312500000000e-01,1.197052001953125000e-02,5.859375000000000000e-02,2.235412597656250000e-02,2.404785156250000000e-02,-7.179260253906250000e-03,-1.045989990234375000e-02,6.250000000000000000e-02,1.105499267578125000e-02,1.087188720703125000e-02,-2.570800781250000000e-01,-2.316406250000000000e+00,1.963867187500000000e+00,-6.215820312500000000e-01,5.222400000000000000e+04,4.608000000000000000e+04,5.222400000000000000e+04,4.300800000000000000e+04,3.205078125000000000e+00,1.100158691406250000e-02
-1.052856445312500000e-03,7.312774658203125000e-03,9.956054687500000000e-01,1.129150390625000000e-02,5.630493164062500000e-02,1.658630371093750000e-02,2.487182617187500000e-02,-7.019042968750000000e-03,-1.040649414062500000e-02,-9.910583496093750000e-03,4.299926757812500000e-02,-3.918457031250000000e-02,-2.570800781250000000e-01,-2.316406250000000000e+00,1.963867187500000000e+00,-6.215820312500000000e-01,5.632000000000000000e+04,6.195200000000000000e+04,5.632000000000000000e+04,7.680000000000000000e+02,3.205078125000000000e+00,2.000427246093750000e-02
-9.436607360839843750e-04,7.865905761718750000e-03,9.960937500000000000e-01,1.056671142578125000e-02,5.383300781250000000e-02,1.753234863281250000e-02,2.523803710937500000e-02,-6.896972656250000000e-03,-1.047515869140625000e-02,-1.920166015625000000e-01,1.676025390625000000e-01,-4.876708984375000000e-02,-2.570800781250000000e-01,-2.316406250000000000e+00,1.963867187500000000e+00,-6.215820312500000000e-01,5.734400000000000000e+04,6.220800000000000000e+04,5.580800000000000000e+04,3.072000000000000000e+03,3.187500000000000000e+00,2.999877929687500000e-02
-8.320808410644531250e-04,8.438110351562500000e-03,9.960937500000000000e-01,9.765625000000000000e-03,5.102539062500000000e-02,2.200317382812500000e-02,2.445983886718750000e-02,-6.221771240234375000e-03,-1.091003417968750000e-02,-6.083984375000000000e-01,5.478515625000000000e-01,-7.330322265625000000e-02,-2.570800781250000000e-01,-2.316406250000000000e+00,1.963867187500000000e+00,-6.215820312500000000e-01,5.811200000000000000e+04,6.016000000000000000e+04,5.478400000000000000e+04,1.280000000000000000e+04,3.187500000000000000e+00,4.000854492187500000e-02
3.906250000000000000e-02,5.676269531250000000e-02,9.960937500000000000e-01,7.910156250000000000e-02,1.279296875000000000e-01,2.247619628906250000e-02,1.454925537109375000e-02,2.218246459960937500e-03,-1.254272460937500000e-02,-1.244140625000000000e+00,9.848632812500000000e-01,-1.137695312500000000e-01,1.067382812500000000e+00,-1.113281250000000000e+00,8.901367187500000000e-01,-2.746582031250000000e-01,5.785600000000000000e+04,5.606400000000000000e+04,5.657600000000000000e+04,2.790400000000000000e+04,3.134765625000000000e+00,5.099487304687500000e-02
3.933715820312500000e-02,5.993652343750000000e-02,9.980468750000000000e-01,7.836914062500000000e-02,1.297607421875000000e-01,2.920532226562500000e-02,4.463195800781250000e-03,1.010131835937500000e-02,-1.338195800781250000e-02,-2.009765625000000000e+00,1.540039062500000000e+00,-4.025268554687500000e-02,1.067382812500000000e+00,-1.113281250000000000e+00,8.901367187500000000e-01,-2.746582031250000000e-01,6.195200000000000000e+04,4.736000000000000000e+04,6.246400000000000000e+04,6.246400000000000000e+04,3.130859375000000000e+00,5.999755859375000000e-02
4.580688476562500000e-02,6.494140625000000000e-02,9.980468750000000000e-01,8.947753906250000000e-02,1.354980468750000000e-01,3.176879882812500000e-02,-1.298522949218750000e-02,2.415466308593750000e-02,-1.447296142578125000e-02,-2.578125000000000000e+00,1.958007812500000000e+00,1.406860351562500000e-02,1.067382812500000000e+00,-1.113281250000000000e+00,8.901367187500000000e-01,-2.746582031250000000e-01,6.118400000000000000e+04,4.147200000000000000e+04,6.323200000000000000e+04,6.323200000000000000e+04,3.134765625000000000e+00,7.000732421875000000e-02
4.290771484375000000e-02,6.555175781250000000e-02,9.985351562500000000e-01,8.544921875000000000e-02,1.357421875000000000e-01,3.698730468750000000e-02,-3.674316406250000000e-02,4.180908203125000000e-02,-1.481628417968750000e-02,-2.972656250000000000e+00,2.132812500000000000e+00,2.899169921875000000e-02,1.067382812500000000e+00,-1.113281250000000000e+00,8.901367187500000000e-01,-2.746582031250000000e-01,6.220800000000000000e+04,3.635200000000000000e+04,6.528000000000000000e+04,6.528000000000000000e+04,3.041015625000000000e+00,8.001708984375000000e-02
4.718017578125000000e-02,7.037353515625000000e-02,9.990234375000000000e-01,9.625244140625000000e-02,1.456298828125000000e-01,4.486083984375000000e-02,-6.542968750000000000e-02,6.311035156250000000e-02,-1.567077636718750000e-02,-2.935546875000000000e+00,2.132812500000000000e+00,2.365112304687500000e-02,1.029296875000000000e+00,5.629882812500000000e-01,-1.269531250000000000e+00,1.380859375000000000e+00,6.348800000000000000e+04,3.788800000000000000e+04,6.528000000000000000e+04,6.528000000000000000e+04,3.013671875000000000e+00,9.100341796875000000e-02
4.629516601562500000e-02,7.141113281250000000e-02,9.995117187500000000e-01,1.005249023437500000e-01,1.525878906250000000e-01,5.847167968750000000e-02,-9.545898437500000000e-02,8.459472656250000000e-02,-1.708984375000000000e-02,-2.808593750000000000e+00,1.895507812500000000e+00,6.842041015625000000e-02,1.029296875000000000e+00,5.629882812500000000e-01,-1.269531250000000000e+00,1.380859375000000000e+00,5.888000000000000000e+04,3.993600000000000000e+04,5.888000000000000000e+04,6.528000000000000000e+04,3.013671875000000000e+00,9.997558593750000000e-02
