x,y,z,x_dot,y_dot,z_dot,roll,pitch,yaw,roll_dot,pitch_dot,yaw_dot,n0,n1,n2,n3,mot0,mot1,mot2,mot3,bat,time
-2.481079101562500000e-02,-1.277923583984375000e-02,1.001953125000000000e+00,1.651000976562500000e-02,3.903198242187500000e-02,-7.366180419921875000e-03,1.480102539062500000e-02,1.701354980468750000e-03,-1.090240478515625000e-02,-6.847381591796875000e-03,1.403808593750000000e-02,1.843261718750000000e-02,-1.307617187500000000e+00,-2.828125000000000000e+00,1.602539062500000000e+00,-2.098083496093750000e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.341796875000000000e+00,2.000427246093750000e-02
-2.368164062500000000e-02,-1.244354248046875000e-02,1.001953125000000000e+00,1.821899414062500000e-02,3.750610351562500000e-02,-8.537292480468750000e-03,1.456451416015625000e-02,1.838684082031250000e-03,-1.074981689453125000e-02,-7.073974609375000000e-02,5.133056640625000000e-02,5.465698242187500000e-02,-3.913574218750000000e-01,-1.320312500000000000e+00,7.973632812500000000e-01,1.539306640625000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.341796875000000000e+00,2.999877929687500000e-02
-2.339172363281250000e-02,-1.011657714843750000e-02,1.001953125000000000e+00,1.853942871093750000e-02,3.927612304687500000e-02,-1.472473144531250000e-02,1.379394531250000000e-02,2.250671386718750000e-03,-1.011657714843750000e-02,-8.996582031250000000e-02,-6.481933593750000000e-02,1.484375000000000000e-01,-3.913574218750000000e-01,-1.320312500000000000e+00,7.973632812500000000e-01,1.539306640625000000e-01,2.278400000000000000e+04,3.942400000000000000e+04,2.380800000000000000e+04,3.840000000000000000e+03,3.574218750000000000e+00,4.000854492187500000e-02
-2.348327636718750000e-02,-8.590698242187500000e-03,1.001953125000000000e+00,1.831054687500000000e-02,3.991699218750000000e-02,-2.914428710937500000e-02,1.308441162109375000e-02,1.777648925781250000e-03,-8.636474609375000000e-03,-4.733276367187500000e-02,-4.135131835937500000e-02,2.644042968750000000e-01,-3.371582031250000000e-01,-1.017578125000000000e+00,9.223632812500000000e-01,-8.862304687500000000e-01,2.483200000000000000e+04,3.532800000000000000e+04,2.304000000000000000e+04,7.936000000000000000e+03,3.599609375000000000e+00,4.998779296875000000e-02
-2.395629882812500000e-02,-1.020050048828125000e-02,1.000976562500000000e+00,1.736450195312500000e-02,3.564453125000000000e-02,-4.638671875000000000e-02,1.187133789062500000e-02,1.919746398925781250e-03,-6.225585937500000000e-03,-2.614746093750000000e-01,2.143554687500000000e-01,3.146972656250000000e-01,-3.371582031250000000e-01,-1.017578125000000000e+00,9.223632812500000000e-01,-8.862304687500000000e-01,3.072000000000000000e+04,2.918400000000000000e+04,3.712000000000000000e+04,0.000000000000000000e+00,3.562500000000000000e+00,5.999755859375000000e-02
-2.378845214843750000e-02,-9.849548339843750000e-03,1.000976562500000000e+00,1.748657226562500000e-02,3.466796875000000000e-02,-6.878662109375000000e-02,8.460998535156250000e-03,2.807617187500000000e-03,-3.459930419921875000e-03,-5.585937500000000000e-01,3.303222656250000000e-01,2.410888671875000000e-01,-9.350585937500000000e-02,-9.892578125000000000e-01,1.940429687500000000e+00,-6.743164062500000000e-01,3.225600000000000000e+04,2.534400000000000000e+04,3.532800000000000000e+04,5.376000000000000000e+03,3.562500000000000000e+00,7.098388671875000000e-02
-1.882934570312500000e-02,-5.245208740234375000e-04,1.000000000000000000e+00,2.520751953125000000e-02,4.818725585937500000e-02,-1.035156250000000000e-01,2.019882202148437500e-03,5.573272705078125000e-03,-1.024246215820312500e-03,-8.417968750000000000e-01,2.761230468750000000e-01,1.761474609375000000e-01,-9.350585937500000000e-02,-9.892578125000000000e-01,1.940429687500000000e+00,-6.743164062500000000e-01,3.584000000000000000e+04,3.379200000000000000e+04,4.147200000000000000e+04,1.894400000000000000e+04,3.546875000000000000e+00,8.001708984375000000e-02
-1.855468750000000000e-02,-4.959106445312500000e-05,9.995117187500000000e-01,2.548217773437500000e-02,4.779052734375000000e-02,-1.358642578125000000e-01,-5.683898925781250000e-03,8.811950683593750000e-03,7.104873657226562500e-04,-9.965820312500000000e-01,3.505859375000000000e-01,1.335449218750000000e-01,1.088867187500000000e+00,-3.544921875000000000e-01,1.936523437500000000e+00,9.526367187500000000e-01,3.430400000000000000e+04,3.020800000000000000e+04,4.224000000000000000e+04,2.457600000000000000e+04,3.541015625000000000e+00,9.002685546875000000e-02
-1.346588134765625000e-02,1.338958740234375000e-02,9.980468750000000000e-01,3.366088867187500000e-02,6.835937500000000000e-02,-1.656494140625000000e-01,-1.744079589843750000e-02,1.393127441406250000e-02,1.928329467773437500e-03,-1.224609375000000000e+00,7.446289062500000000e-01,1.644287109375000000e-01,1.088867187500000000e+00,-3.544921875000000000e-01,1.936523437500000000e+00,9.526367187500000000e-01,4.710400000000000000e+04,5.580800000000000000e+04,5.632000000000000000e+04,5.657600000000000000e+04,3.505859375000000000e+00,9.997558593750000000e-02
-1.329040527343750000e-02,1.351165771484375000e-02,9.960937500000000000e-01,3.427124023437500000e-02,6.842041015625000000e-02,-1.907958984375000000e-01,-3.004455566406250000e-02,1.969909667968750000e-02,3.368377685546875000e-03,-1.420898437500000000e+00,7.416992187500000000e-01,3.134765625000000000e-01,2.097656250000000000e+00,3.823242187500000000e-01,1.609375000000000000e+00,1.817382812500000000e+00,4.838400000000000000e+04,5.632000000000000000e+04,5.811200000000000000e+04,5.811200000000000000e+04,3.410156250000000000e+00,1.099853515625000000e-01
