x,y,z,x_dot,y_dot,z_dot,roll,pitch,yaw,roll_dot,pitch_dot,yaw_dot,n0,n1,n2,n3,mot0,mot1,mot2,mot3,bat,time
-3.225708007812500000e-02,-4.183959960937500000e-02,9.995117187500000000e-01,5.072021484375000000e-02,6.744384765625000000e-02,1.765441894531250000e-02,-1.519775390625000000e-02,9.582519531250000000e-03,-1.142883300781250000e-02,5.068969726562500000e-02,-1.004638671875000000e-01,6.549072265625000000e-02,4.780273437500000000e-01,-1.798828125000000000e+00,8.608398437500000000e-01,4.331054687500000000e-01,5.580800000000000000e+04,5.785600000000000000e+04,4.992000000000000000e+04,3.328000000000000000e+04,3.425781250000000000e+00,2.000427246093750000e-02
-3.134155273437500000e-02,-4.067993164062500000e-02,1.000000000000000000e+00,5.236816406250000000e-02,6.976318359375000000e-02,1.741027832031250000e-02,-1.472473144531250000e-02,8.934020996093750000e-03,-1.074981689453125000e-02,-2.081298828125000000e-01,2.882003784179687500e-03,1.187744140625000000e-01,4.780273437500000000e-01,-1.798828125000000000e+00,8.608398437500000000e-01,4.331054687500000000e-01,5.529600000000000000e+04,5.785600000000000000e+04,5.222400000000000000e+04,3.251200000000000000e+04,3.425781250000000000e+00,2.999877929687500000e-02
-3.080749511718750000e-02,-3.997802734375000000e-02,1.000000000000000000e+00,5.328369140625000000e-02,7.122802734375000000e-02,2.137756347656250000e-02,-1.683044433593750000e-02,8.979797363281250000e-03,-9.468078613281250000e-03,-5.395507812500000000e-01,2.073974609375000000e-01,1.827392578125000000e-01,4.780273437500000000e-01,-1.798828125000000000e+00,8.608398437500000000e-01,4.331054687500000000e-01,5.632000000000000000e+04,5.555200000000000000e+04,5.401600000000000000e+04,4.121600000000000000e+04,3.367187500000000000e+00,4.000854492187500000e-02
-2.459716796875000000e-02,-2.886962890625000000e-02,1.000000000000000000e+00,6.390380859375000000e-02,9.082031250000000000e-02,2.578735351562500000e-02,-2.470397949218750000e-02,1.264190673828125000e-02,-7.873535156250000000e-03,-1.121093750000000000e+00,4.194335937500000000e-01,2.177734375000000000e-01,7.573242187500000000e-01,-1.416015625000000000e+00,2.990722656250000000e-01,7.021484375000000000e-01,5.606400000000000000e+04,5.196800000000000000e+04,5.657600000000000000e+04,4.684800000000000000e+04,3.326171875000000000e+00,5.099487304687500000e-02
-2.262878417968750000e-02,-2.807617187500000000e-02,1.000000000000000000e+00,6.756591796875000000e-02,9.320068359375000000e-02,3.041076660156250000e-02,-3.723144531250000000e-02,1.814270019531250000e-02,-5.519866943359375000e-03,-1.753906250000000000e+00,8.232421875000000000e-01,3.029785156250000000e-01,7.573242187500000000e-01,-1.416015625000000000e+00,2.990722656250000000e-01,7.021484375000000000e-01,5.657600000000000000e+04,4.300800000000000000e+04,5.811200000000000000e+04,5.836800000000000000e+04,3.310546875000000000e+00,5.999755859375000000e-02
-2.017211914062500000e-02,-2.159118652343750000e-02,1.000976562500000000e+00,7.257080078125000000e-02,1.068115234375000000e-01,3.863525390625000000e-02,-5.618286132812500000e-02,2.638244628906250000e-02,-2.733230590820312500e-03,-2.169921875000000000e+00,8.593750000000000000e-01,4.223632812500000000e-01,7.573242187500000000e-01,-1.416015625000000000e+00,2.990722656250000000e-01,7.021484375000000000e-01,5.657600000000000000e+04,3.737600000000000000e+04,6.016000000000000000e+04,5.913600000000000000e+04,3.292968750000000000e+00,7.000732421875000000e-02
-2.015686035156250000e-02,-2.345275878906250000e-02,1.000976562500000000e+00,7.440185546875000000e-02,1.082153320312500000e-01,5.068969726562500000e-02,-7.812500000000000000e-02,3.543090820312500000e-02,1.049041748046875000e-03,-2.363281250000000000e+00,8.955078125000000000e-01,4.724121093750000000e-01,7.573242187500000000e-01,-1.416015625000000000e+00,2.990722656250000000e-01,7.021484375000000000e-01,5.580800000000000000e+04,3.148800000000000000e+04,6.067200000000000000e+04,6.067200000000000000e+04,3.267578125000000000e+00,8.001708984375000000e-02
-1.779174804687500000e-02,-1.803588867187500000e-02,1.001953125000000000e+00,8.117675781250000000e-02,1.249389648437500000e-01,6.573486328125000000e-02,-1.030273437500000000e-01,4.464721679687500000e-02,4.726409912109375000e-03,-2.548828125000000000e+00,7.270507812500000000e-01,5.234375000000000000e-01,7.949218750000000000e-01,-1.083984375000000000e+00,1.208007812500000000e+00,-8.862304687500000000e-02,5.427200000000000000e+04,3.123200000000000000e+04,6.067200000000000000e+04,6.041600000000000000e+04,3.267578125000000000e+00,9.100341796875000000e-02
-1.855468750000000000e-02,-1.963806152343750000e-02,1.000976562500000000e+00,8.367919921875000000e-02,1.325683593750000000e-01,7.672119140625000000e-02,-1.270751953125000000e-01,5.209350585937500000e-02,9.201049804687500000e-03,-2.234375000000000000e+00,5.791015625000000000e-01,4.916992187500000000e-01,7.949218750000000000e-01,-1.083984375000000000e+00,1.208007812500000000e+00,-8.862304687500000000e-02,5.350400000000000000e+04,3.379200000000000000e+04,6.092800000000000000e+04,5.427200000000000000e+04,3.257812500000000000e+00,9.997558593750000000e-02
-1.696777343750000000e-02,-1.464080810546875000e-02,1.001953125000000000e+00,9.094238281250000000e-02,1.544189453125000000e-01,9.619140625000000000e-02,-1.489257812500000000e-01,5.752563476562500000e-02,1.326751708984375000e-02,-1.848632812500000000e+00,2.639160156250000000e-01,4.616699218750000000e-01,7.949218750000000000e-01,-1.083984375000000000e+00,1.208007812500000000e+00,-8.862304687500000000e-02,5.299200000000000000e+04,4.096000000000000000e+04,6.067200000000000000e+04,4.966400000000000000e+04,3.267578125000000000e+00,1.099853515625000000e-01
-1.820373535156250000e-02,-1.493835449218750000e-02,1.002929687500000000e+00,9.387207031250000000e-02,1.699218750000000000e-01,1.192016601562500000e-01,-1.660156250000000000e-01,5.987548828125000000e-02,1.750183105468750000e-02,-1.423828125000000000e+00,1.488037109375000000e-01,4.138183593750000000e-01,7.949218750000000000e-01,-1.083984375000000000e+00,1.208007812500000000e+00,-8.862304687500000000e-02,5.580800000000000000e+04,4.300800000000000000e+04,6.016000000000000000e+04,4.659200000000000000e+04,3.298828125000000000e+00,1.199951171875000000e-01
-1.733398437500000000e-02,-1.274871826171875000e-02,1.004882812500000000e+00,1.005859375000000000e-01,1.915283203125000000e-01,1.425781250000000000e-01,-1.788330078125000000e-01,6.146240234375000000e-02,2.163696289062500000e-02,-8.813476562500000000e-01,-9.405517578125000000e-02,4.543457031250000000e-01,2.446289062500000000e-01,-1.311523437500000000e+00,1.814453125000000000e+00,6.591796875000000000e-01,5.606400000000000000e+04,4.915200000000000000e+04,5.990400000000000000e+04,4.070400000000000000e+04,3.310546875000000000e+00,1.309814453125000000e-01
-1.522064208984375000e-02,-8.491516113281250000e-03,1.005859375000000000e+00,1.093139648437500000e-01,2.176513671875000000e-01,1.656494140625000000e-01,-1.864013671875000000e-01,6.173706054687500000e-02,2.571105957031250000e-02,-4.904785156250000000e-01,-1.387939453125000000e-01,4.489746093750000000e-01,2.446289062500000000e-01,-1.311523437500000000e+00,1.814453125000000000e+00,6.591796875000000000e-01,4.761600000000000000e+04,5.376000000000000000e+04,5.990400000000000000e+04,3.404800000000000000e+04,3.310546875000000000e+00,1.400146484375000000e-01
-1.432037353515625000e-02,-7.495880126953125000e-03,1.007812500000000000e+00,1.156005859375000000e-01,2.381591796875000000e-01,1.849365234375000000e-01,-1.896972656250000000e-01,6.219482421875000000e-02,3.010559082031250000e-02,-3.344726562500000000e-02,1.190185546875000000e-01,4.489746093750000000e-01,2.446289062500000000e-01,-1.311523437500000000e+00,1.814453125000000000e+00,6.591796875000000000e-01,5.350400000000000000e+04,5.452800000000000000e+04,5.990400000000000000e+04,2.995200000000000000e+04,3.310546875000000000e+00,1.500244140625000000e-01
-1.313018798828125000e-02,-5.004882812500000000e-03,1.009765625000000000e+00,1.220703125000000000e-01,2.604980468750000000e-01,2.019042968750000000e-01,-1.893310546875000000e-01,6.463623046875000000e-02,3.439331054687500000e-02,2.648925781250000000e-01,4.248046875000000000e-01,4.777832031250000000e-01,2.446289062500000000e-01,-1.311523437500000000e+00,1.814453125000000000e+00,6.591796875000000000e-01,5.555200000000000000e+04,5.324800000000000000e+04,5.888000000000000000e+04,3.097600000000000000e+04,3.330078125000000000e+00,1.600341796875000000e-01
-2.357482910156250000e-03,-7.755279541015625000e-03,1.011718750000000000e+00,1.457519531250000000e-01,2.731933593750000000e-01,2.219238281250000000e-01,-1.856689453125000000e-01,7.202148437500000000e-02,4.168701171875000000e-02,4.309082031250000000e-01,9.082031250000000000e-01,4.990234375000000000e-01,-6.250000000000000000e-01,-7.241210937500000000e-01,8.041992187500000000e-01,3.872070312500000000e-01,5.836800000000000000e+04,5.145600000000000000e+04,5.580800000000000000e+04,3.481600000000000000e+04,3.330078125000000000e+00,1.710205078125000000e-01
9.460449218750000000e-04,-7.328033447265625000e-03,1.013671875000000000e+00,1.567382812500000000e-01,2.915039062500000000e-01,2.426757812500000000e-01,-1.810302734375000000e-01,8.294677734375000000e-02,4.562377929687500000e-02,4.885253906250000000e-01,1.420898437500000000e+00,4.331054687500000000e-01,-6.250000000000000000e-01,-7.241210937500000000e-01,8.041992187500000000e-01,3.872070312500000000e-01,5.888000000000000000e+04,2.534400000000000000e+04,4.582400000000000000e+04,4.326400000000000000e+04,3.330078125000000000e+00,1.800537109375000000e-01
4.467010498046875000e-03,-1.179695129394531250e-03,1.016601562500000000e+00,1.690673828125000000e-01,3.188476562500000000e-01,2.607421875000000000e-01,-1.774902343750000000e-01,9.851074218750000000e-02,4.733276367187500000e-02,3.254394531250000000e-01,1.739257812500000000e+00,4.182128906250000000e-01,-6.250000000000000000e-01,-7.241210937500000000e-01,8.041992187500000000e-01,3.872070312500000000e-01,5.836800000000000000e+04,1.971200000000000000e+04,4.147200000000000000e+04,4.940800000000000000e+04,3.357421875000000000e+00,1.899414062500000000e-01
8.201599121093750000e-03,3.034591674804687500e-03,1.018554687500000000e+00,1.831054687500000000e-01,3.413085937500000000e-01,2.770996093750000000e-01,-1.748046875000000000e-01,1.168823242187500000e-01,4.864501953125000000e-02,1.348876953125000000e-01,1.589843750000000000e+00,4.052734375000000000e-01,-6.250000000000000000e-01,-7.241210937500000000e-01,8.041992187500000000e-01,3.872070312500000000e-01,5.580800000000000000e+04,2.278400000000000000e+04,4.377600000000000000e+04,4.812800000000000000e+04,3.410156250000000000e+00,1.999511718750000000e-01
9.307861328125000000e-03,6.534576416015625000e-03,1.021484375000000000e+00,1.936035156250000000e-01,3.610839843750000000e-01,2.866210937500000000e-01,-1.732177734375000000e-01,1.343994140625000000e-01,4.925537109375000000e-02,2.938842773437500000e-02,1.435546875000000000e+00,3.669433593750000000e-01,-8.305664062500000000e-01,-4.558105468750000000e-01,6.503906250000000000e-01,-6.733398437500000000e-01,5.580800000000000000e+04,2.252800000000000000e+04,4.377600000000000000e+04,4.838400000000000000e+04,3.410156250000000000e+00,2.110595703125000000e-01
1.497650146484375000e-02,1.173400878906250000e-02,1.024414062500000000e+00,2.135009765625000000e-01,3.828125000000000000e-01,2.941894531250000000e-01,-1.730957031250000000e-01,1.501464843750000000e-01,5.142211914062500000e-02,4.324340820312500000e-02,1.155273437500000000e+00,3.679199218750000000e-01,-8.305664062500000000e-01,-4.558105468750000000e-01,6.503906250000000000e-01,-6.733398437500000000e-01,5.657600000000000000e+04,9.472000000000000000e+03,4.992000000000000000e+04,4.019200000000000000e+04,3.419921875000000000e+00,2.199707031250000000e-01
1.543426513671875000e-02,2.001953125000000000e-02,1.025390625000000000e+00,2.255859375000000000e-01,4.104003906250000000e-01,2.897949218750000000e-01,-1.741943359375000000e-01,1.611328125000000000e-01,5.065917968750000000e-02,-2.209472656250000000e-01,6.411132812500000000e-01,1.230468750000000000e-01,-8.305664062500000000e-01,-4.558105468750000000e-01,6.503906250000000000e-01,-6.733398437500000000e-01,5.068800000000000000e+04,1.075200000000000000e+04,5.452800000000000000e+04,4.224000000000000000e+04,3.425781250000000000e+00,2.299804687500000000e-01
1.788330078125000000e-02,2.330017089843750000e-02,1.028320312500000000e+00,2.420654296875000000e-01,4.284667968750000000e-01,2.966308593750000000e-01,-1.752929687500000000e-01,1.677246093750000000e-01,5.078125000000000000e-02,-1.016235351562500000e-01,1.126098632812500000e-01,-5.166625976562500000e-02,-8.305664062500000000e-01,-4.558105468750000000e-01,6.503906250000000000e-01,-6.733398437500000000e-01,4.966400000000000000e+04,2.688000000000000000e+04,5.299200000000000000e+04,3.481600000000000000e+04,3.431640625000000000e+00,2.399902343750000000e-01
1.792907714843750000e-02,2.433776855468750000e-02,1.031250000000000000e+00,2.541503906250000000e-01,4.421386718750000000e-01,3.007812500000000000e-01,-1.751708984375000000e-01,1.683349609375000000e-01,4.962158203125000000e-02,1.540527343750000000e-01,-1.356201171875000000e-01,-1.752929687500000000e-01,-7.255859375000000000e-01,-1.171264648437500000e-01,1.286132812500000000e+00,5.917968750000000000e-01,4.940800000000000000e+04,3.353600000000000000e+04,5.171200000000000000e+04,3.148800000000000000e+04,3.435546875000000000e+00,2.509765625000000000e-01
1.948547363281250000e-02,2.832031250000000000e-02,1.034179687500000000e+00,2.680664062500000000e-01,4.594726562500000000e-01,2.995605468750000000e-01,-1.735839843750000000e-01,1.646728515625000000e-01,4.800415039062500000e-02,3.339843750000000000e-01,-5.595703125000000000e-01,-1.571044921875000000e-01,-7.255859375000000000e-01,-1.171264648437500000e-01,1.286132812500000000e+00,5.917968750000000000e-01,3.353600000000000000e+04,4.787200000000000000e+04,5.171200000000000000e+04,3.737600000000000000e+04,3.447265625000000000e+00,2.600097656250000000e-01
1.950073242187500000e-02,2.943420410156250000e-02,1.038085937500000000e+00,2.797851562500000000e-01,4.724121093750000000e-01,2.988281250000000000e-01,-1.684570312500000000e-01,1.569824218750000000e-01,4.705810546875000000e-02,6.303710937500000000e-01,-7.065429687500000000e-01,-1.060180664062500000e-01,-7.255859375000000000e-01,-1.171264648437500000e-01,1.286132812500000000e+00,5.917968750000000000e-01,3.584000000000000000e+04,5.017600000000000000e+04,5.273600000000000000e+04,2.944000000000000000e+04,3.447265625000000000e+00,2.700195312500000000e-01
2.316284179687500000e-02,3.652954101562500000e-02,1.039062500000000000e+00,2.961425781250000000e-01,4.943847656250000000e-01,2.910156250000000000e-01,-1.612548828125000000e-01,1.489257812500000000e-01,4.693603515625000000e-02,1.044921875000000000e+00,-5.957031250000000000e-01,4.418945312500000000e-02,-7.255859375000000000e-01,-1.171264648437500000e-01,1.286132812500000000e+00,5.917968750000000000e-01,4.147200000000000000e+04,4.992000000000000000e+04,5.043200000000000000e+04,2.867200000000000000e+04,3.431640625000000000e+00,2.800292968750000000e-01
2.412414550781250000e-02,3.735351562500000000e-02,1.041992187500000000e+00,3.066406250000000000e-01,5.043945312500000000e-01,2.907714843750000000e-01,-1.496582031250000000e-01,1.419677734375000000e-01,4.861450195312500000e-02,1.258789062500000000e+00,-4.882812500000000000e-01,1.166381835937500000e-01,-2.218750000000000000e+00,-4.045410156250000000e-01,1.304687500000000000e+00,6.192016601562500000e-02,4.249600000000000000e+04,4.992000000000000000e+04,5.043200000000000000e+04,2.713600000000000000e+04,3.431640625000000000e+00,2.910156250000000000e-01
2.696228027343750000e-02,3.930664062500000000e-02,1.044921875000000000e+00,3.188476562500000000e-01,5.136718750000000000e-01,2.873535156250000000e-01,-1.359863281250000000e-01,1.375732421875000000e-01,5.136108398437500000e-02,1.421875000000000000e+00,-1.516113281250000000e-01,8.361816406250000000e-02,-2.218750000000000000e+00,-4.045410156250000000e-01,1.304687500000000000e+00,6.192016601562500000e-02,3.993600000000000000e+04,3.584000000000000000e+04,3.635200000000000000e+04,0.000000000000000000e+00,3.431640625000000000e+00,3.000488281250000000e-01
3.179931640625000000e-02,4.644775390625000000e-02,1.047851562500000000e+00,3.339843750000000000e-01,5.307617187500000000e-01,2.832031250000000000e-01,-1.212158203125000000e-01,1.373291015625000000e-01,5.273437500000000000e-02,1.462890625000000000e+00,3.266601562500000000e-01,6.866455078125000000e-02,-2.218750000000000000e+00,-4.045410156250000000e-01,1.304687500000000000e+00,6.192016601562500000e-02,4.275200000000000000e+04,3.353600000000000000e+04,3.302400000000000000e+04,3.584000000000000000e+03,3.435546875000000000e+00,3.100585937500000000e-01
3.540039062500000000e-02,5.447387695312500000e-02,1.051757812500000000e+00,3.461914062500000000e-01,5.473632812500000000e-01,2.832031250000000000e-01,-1.063232421875000000e-01,1.401367187500000000e-01,5.282592773437500000e-02,1.507812500000000000e+00,3.833007812500000000e-01,3.353881835937500000e-02,-2.218750000000000000e+00,-4.045410156250000000e-01,1.304687500000000000e+00,6.192016601562500000e-02,4.505600000000000000e+04,3.353600000000000000e+04,2.764800000000000000e+04,1.280000000000000000e+03,3.537109375000000000e+00,3.200683593750000000e-01
3.939819335937500000e-02,5.654907226562500000e-02,1.054687500000000000e+00,3.591308593750000000e-01,5.517578125000000000e-01,2.751464843750000000e-01,-9.210205078125000000e-02,1.459960937500000000e-01,5.444335937500000000e-02,1.196289062500000000e+00,8.520507812500000000e-01,8.575439453125000000e-02,-2.570312500000000000e+00,6.791992187500000000e-01,4.565429687500000000e-01,5.913085937500000000e-01,4.710400000000000000e+04,2.790400000000000000e+04,2.329600000000000000e+04,9.728000000000000000e+03,3.537109375000000000e+00,3.310546875000000000e-01
4.418945312500000000e-02,6.842041015625000000e-02,1.056640625000000000e+00,3.725585937500000000e-01,5.708007812500000000e-01,2.597656250000000000e-01,-8.148193359375000000e-02,1.544189453125000000e-01,5.239868164062500000e-02,9.804687500000000000e-01,8.208007812500000000e-01,6.762695312500000000e-02,-2.570312500000000000e+00,6.791992187500000000e-01,4.565429687500000000e-01,5.913085937500000000e-01,3.635200000000000000e+04,6.144000000000000000e+03,2.048000000000000000e+04,3.276800000000000000e+04,3.558593750000000000e+00,3.400878906250000000e-01
4.913330078125000000e-02,7.214355468750000000e-02,1.059570312500000000e+00,3.859863281250000000e-01,5.747070312500000000e-01,2.381591796875000000e-01,-7.250976562500000000e-02,1.638183593750000000e-01,5.435180664062500000e-02,6.899414062500000000e-01,9.052734375000000000e-01,1.688232421875000000e-01,-2.570312500000000000e+00,6.791992187500000000e-01,4.565429687500000000e-01,5.913085937500000000e-01,3.686400000000000000e+04,1.536000000000000000e+03,2.380800000000000000e+04,3.225600000000000000e+04,3.562500000000000000e+00,3.500976562500000000e-01
5.554199218750000000e-02,7.702636718750000000e-02,1.059570312500000000e+00,4.023437500000000000e-01,5.800781250000000000e-01,2.028808593750000000e-01,-6.628417968750000000e-02,1.734619140625000000e-01,5.529785156250000000e-02,4.523925781250000000e-01,1.011718750000000000e+00,2.103271484375000000e-01,-2.570312500000000000e+00,6.791992187500000000e-01,4.565429687500000000e-01,5.913085937500000000e-01,3.686400000000000000e+04,1.536000000000000000e+03,2.150400000000000000e+04,3.379200000000000000e+04,3.578125000000000000e+00,3.601074218750000000e-01
5.798339843750000000e-02,8.441162109375000000e-02,1.061523437500000000e+00,4.123535156250000000e-01,5.888671875000000000e-01,1.799316406250000000e-01,-6.185913085937500000e-02,1.811523437500000000e-01,5.511474609375000000e-02,5.131835937500000000e-01,6.752929687500000000e-01,2.008056640625000000e-01,-2.093750000000000000e+00,1.007812500000000000e+00,1.382827758789062500e-04,-9.785156250000000000e-01,3.865600000000000000e+04,0.000000000000000000e+00,2.483200000000000000e+04,3.097600000000000000e+04,3.583984375000000000e+00,3.710937500000000000e-01
6.262207031250000000e-02,8.837890625000000000e-02,1.063476562500000000e+00,4.267578125000000000e-01,5.913085937500000000e-01,1.586914062500000000e-01,-5.731201171875000000e-02,1.873779296875000000e-01,5.807495117187500000e-02,2.573242187500000000e-01,3.640136718750000000e-01,1.593017578125000000e-01,-2.093750000000000000e+00,1.007812500000000000e+00,1.382827758789062500e-04,-9.785156250000000000e-01,4.505600000000000000e+04,0.000000000000000000e+00,4.582400000000000000e+04,2.585600000000000000e+04,3.589843750000000000e+00,3.798828125000000000e-01
6.585693359375000000e-02,9.570312500000000000e-02,1.064453125000000000e+00,4.387207031250000000e-01,5.986328125000000000e-01,1.359863281250000000e-01,-5.450439453125000000e-02,1.900634765625000000e-01,5.786132812500000000e-02,2.988281250000000000e-01,2.702636718750000000e-01,-1.439666748046875000e-02,-2.093750000000000000e+00,1.007812500000000000e+00,1.382827758789062500e-04,-9.785156250000000000e-01,4.428800000000000000e+04,0.000000000000000000e+00,4.403200000000000000e+04,2.739200000000000000e+04,3.589843750000000000e+00,3.898925781250000000e-01
6.860351562500000000e-02,1.014404296875000000e-01,1.066406250000000000e+00,4.501953125000000000e-01,6.035156250000000000e-01,1.123046875000000000e-01,-5.114746093750000000e-02,1.898193359375000000e-01,5.636596679687500000e-02,5.224609375000000000e-01,-3.486328125000000000e-01,-1.624755859375000000e-01,-2.093750000000000000e+00,1.007812500000000000e+00,1.382827758789062500e-04,-9.785156250000000000e-01,4.019200000000000000e+04,1.024000000000000000e+03,4.480000000000000000e+04,2.560000000000000000e+04,3.531250000000000000e+00,3.999023437500000000e-01
