x,y,z,x_dot,y_dot,z_dot,roll,pitch,yaw,roll_dot,pitch_dot,yaw_dot,n0,n1,n2,n3,mot0,mot1,mot2,mot3,bat,time
-1.347351074218750000e-02,1.480102539062500000e-02,1.000976562500000000e+00,8.668899536132812500e-04,-6.843566894531250000e-03,6.134033203125000000e-03,3.411865234375000000e-02,1.831054687500000000e-02,5.374908447265625000e-03,-1.627197265625000000e-01,-9.857177734375000000e-02,2.575683593750000000e-02,1.767578125000000000e-01,9.995117187500000000e-01,1.840820312500000000e-01,-1.735839843750000000e-01,4.198400000000000000e+04,5.632000000000000000e+04,4.198400000000000000e+04,3.200000000000000000e+04,3.419921875000000000e+00,2.099609375000000000e-02
-1.133728027343750000e-02,1.828002929687500000e-02,1.000976562500000000e+00,5.592346191406250000e-03,-5.382537841796875000e-03,6.713867187500000000e-03,3.274536132812500000e-02,1.759338378906250000e-02,5.546569824218750000e-03,-6.430664062500000000e-01,-8.581542968750000000e-02,1.483154296875000000e-01,-3.088378906250000000e-01,7.553710937500000000e-01,1.070312500000000000e+00,1.439453125000000000e+00,2.764800000000000000e+04,5.350400000000000000e+04,5.632000000000000000e+04,5.632000000000000000e+04,3.419921875000000000e+00,3.100585937500000000e-02
-1.481628417968750000e-02,2.314758300781250000e-02,1.000976562500000000e+00,2.420425415039062500e-03,-2.025604248046875000e-03,5.493164062500000000e-03,2.731323242187500000e-02,1.611328125000000000e-02,6.839752197265625000e-03,-1.244140625000000000e+00,5.377197265625000000e-02,2.888183593750000000e-01,7.734375000000000000e-01,4.277343750000000000e-01,5.136718750000000000e-01,9.926757812500000000e-01,5.324800000000000000e+04,4.736000000000000000e+04,4.889600000000000000e+04,5.580800000000000000e+04,3.447265625000000000e+00,4.098510742187500000e-02
-1.253509521484375000e-02,2.922058105468750000e-02,1.001953125000000000e+00,7.049560546875000000e-03,3.652572631835937500e-03,5.371093750000000000e-03,1.588439941406250000e-02,1.625061035156250000e-02,9.216308593750000000e-03,-1.586914062500000000e+00,3.168945312500000000e-01,4.636230468750000000e-01,4.182128906250000000e-01,-2.934570312500000000e-01,1.108398437500000000e-01,4.028320312500000000e-01,4.736000000000000000e+04,2.790400000000000000e+04,3.993600000000000000e+04,4.684800000000000000e+04,3.431640625000000000e+00,5.099487304687500000e-02
-1.284790039062500000e-02,2.432250976562500000e-02,1.001953125000000000e+00,8.071899414062500000e-03,-4.493713378906250000e-03,2.449035644531250000e-03,9.765625000000000000e-04,1.834106445312500000e-02,1.355743408203125000e-02,-1.898437500000000000e+00,3.593750000000000000e-01,4.721679687500000000e-01,-3.564453125000000000e-01,3.999023437500000000e-01,7.680664062500000000e-01,2.056884765625000000e-01,2.662400000000000000e+04,4.812800000000000000e+04,5.504000000000000000e+04,4.377600000000000000e+04,3.335937500000000000e+00,6.100463867187500000e-02
-1.191711425781250000e-02,3.222656250000000000e-02,1.001953125000000000e+00,1.110076904296875000e-02,6.160736083984375000e-03,4.402160644531250000e-03,-1.824951171875000000e-02,2.203369140625000000e-02,1.820373535156250000e-02,-2.160156250000000000e+00,2.519531250000000000e-01,4.785156250000000000e-01,-3.286132812500000000e-01,7.651367187500000000e-01,1.039062500000000000e+00,3.051757812500000000e-01,2.713600000000000000e+04,5.427200000000000000e+04,5.708800000000000000e+04,4.556800000000000000e+04,3.378906250000000000e+00,7.098388671875000000e-02
-1.409149169921875000e-02,2.616882324218750000e-02,1.001953125000000000e+00,1.009368896484375000e-02,-1.674890518188476562e-04,7.266998291015625000e-03,-3.875732421875000000e-02,2.494812011718750000e-02,2.308654785156250000e-02,-2.250000000000000000e+00,3.105468750000000000e-01,5.434570312500000000e-01,7.128906250000000000e-01,3.654785156250000000e-01,6.430664062500000000e-01,7.441406250000000000e-01,5.350400000000000000e+04,4.684800000000000000e+04,5.222400000000000000e+04,5.376000000000000000e+04,3.378906250000000000e+00,8.099365234375000000e-02
-1.137542724609375000e-02,3.594970703125000000e-02,1.001953125000000000e+00,1.625061035156250000e-02,1.728820800781250000e-02,1.230621337890625000e-02,-6.182861328125000000e-02,2.857971191406250000e-02,2.801513671875000000e-02,-2.218750000000000000e+00,5.556640625000000000e-01,6.254882812500000000e-01,5.361328125000000000e-01,-2.094726562500000000e-01,4.777832031250000000e-01,8.344726562500000000e-01,4.966400000000000000e+04,3.072000000000000000e+04,4.864000000000000000e+04,5.427200000000000000e+04,3.425781250000000000e+00,9.100341796875000000e-02
-1.379394531250000000e-02,2.793884277343750000e-02,1.001953125000000000e+00,1.535034179687500000e-02,1.271820068359375000e-02,1.696777343750000000e-02,-8.300781250000000000e-02,3.378295898437500000e-02,3.405761718750000000e-02,-2.066406250000000000e+00,7.250976562500000000e-01,5.869140625000000000e-01,3.645019531250000000e-01,1.444091796875000000e-01,5.273437500000000000e-01,4.836425781250000000e-01,4.684800000000000000e+04,4.147200000000000000e+04,5.017600000000000000e+04,4.915200000000000000e+04,3.382812500000000000e+00,1.010131835937500000e-01
-8.102416992187500000e-03,2.864074707031250000e-02,1.001953125000000000e+00,2.621459960937500000e-02,2.272033691406250000e-02,2.520751953125000000e-02,-1.038818359375000000e-01,4.168701171875000000e-02,3.912353515625000000e-02,-1.907226562500000000e+00,6.479492187500000000e-01,5.712890625000000000e-01,9.912109375000000000e-02,6.586914062500000000e-01,6.997070312500000000e-01,-2.967834472656250000e-02,4.096000000000000000e+04,5.324800000000000000e+04,5.376000000000000000e+04,3.712000000000000000e+04,3.335937500000000000e+00,1.099853515625000000e-01
