x,y,z,x_dot,y_dot,z_dot,roll,pitch,yaw,roll_dot,pitch_dot,yaw_dot,n0,n1,n2,n3,mot0,mot1,mot2,mot3,bat,time
-1.579284667968750000e-02,-1.404571533203125000e-02,1.002929687500000000e+00,3.289794921875000000e-02,6.726074218750000000e-02,5.344390869140625000e-03,1.870393753051757812e-04,4.119873046875000000e-03,-4.108428955078125000e-03,1.668701171875000000e-01,-5.444335937500000000e-02,-1.210021972656250000e-02,1.597656250000000000e+00,1.212890625000000000e+00,-3.537597656250000000e-01,-2.744140625000000000e+00,5.632000000000000000e+04,5.632000000000000000e+04,2.611200000000000000e+04,0.000000000000000000e+00,3.419921875000000000e+00,1.100158691406250000e-02
-1.635742187500000000e-02,-1.499176025390625000e-02,1.002929687500000000e+00,3.192138671875000000e-02,6.475830078125000000e-02,5.409240722656250000e-03,1.587867736816406250e-03,3.770828247070312500e-03,-4.180908203125000000e-03,1.326904296875000000e-01,-6.616210937500000000e-02,-8.903503417968750000e-03,1.189453125000000000e+00,-7.867431640625000000e-02,1.086914062500000000e+00,-4.252929687500000000e-01,5.632000000000000000e+04,3.481600000000000000e+04,5.632000000000000000e+04,2.355200000000000000e+04,3.419921875000000000e+00,2.099609375000000000e-02
-1.522827148437500000e-02,-1.469421386718750000e-02,1.002929687500000000e+00,3.353881835937500000e-02,6.414794921875000000e-02,5.123138427734375000e-03,1.979827880859375000e-03,3.479003906250000000e-03,-4.146575927734375000e-03,-2.380371093750000000e-01,-3.952026367187500000e-02,-6.750488281250000000e-02,1.803710937500000000e+00,1.267089843750000000e-01,7.431640625000000000e-01,8.779296875000000000e-01,5.632000000000000000e+04,4.070400000000000000e+04,5.324800000000000000e+04,5.504000000000000000e+04,3.419921875000000000e+00,3.100585937500000000e-02
-1.489257812500000000e-02,-1.405334472656250000e-02,1.002929687500000000e+00,3.387451171875000000e-02,6.390380859375000000e-02,5.226135253906250000e-03,-1.230239868164062500e-03,3.355026245117187500e-03,-5.203247070312500000e-03,-6.542968750000000000e-01,-3.305435180664062500e-03,-2.517089843750000000e-01,1.213867187500000000e+00,1.408203125000000000e+00,4.462890625000000000e-01,-1.771484375000000000e+00,5.683200000000000000e+04,5.683200000000000000e+04,4.838400000000000000e+04,0.000000000000000000e+00,3.398437500000000000e+00,4.000854492187500000e-02
-1.374816894531250000e-02,6.361007690429687500e-04,1.002929687500000000e+00,3.518676757812500000e-02,8.520507812500000000e-02,5.390167236328125000e-03,-9.880065917968750000e-03,3.063201904296875000e-03,-7.911682128906250000e-03,-9.868164062500000000e-01,-1.470947265625000000e-01,-2.432861328125000000e-01,3.981933593750000000e-01,3.408203125000000000e-01,1.451171875000000000e+00,-8.793945312500000000e-01,4.812800000000000000e+04,4.684800000000000000e+04,5.785600000000000000e+04,5.376000000000000000e+03,3.335937500000000000e+00,5.099487304687500000e-02
-1.450347900390625000e-02,9.417533874511718750e-04,1.002929687500000000e+00,3.381347656250000000e-02,8.532714843750000000e-02,6.446838378906250000e-03,-2.075195312500000000e-02,1.284599304199218750e-03,-1.049041748046875000e-02,-1.531250000000000000e+00,-2.185058593750000000e-01,-3.200683593750000000e-01,9.838867187500000000e-01,-2.756347656250000000e-01,1.195312500000000000e+00,1.014648437500000000e+00,5.760000000000000000e+04,2.944000000000000000e+04,5.785600000000000000e+04,5.785600000000000000e+04,3.335937500000000000e+00,5.999755859375000000e-02
-1.523590087890625000e-02,8.934020996093750000e-03,1.002929687500000000e+00,3.219604492187500000e-02,9.796142578125000000e-02,4.188537597656250000e-03,-3.775024414062500000e-02,-9.179115295410156250e-04,-1.419830322265625000e-02,-2.044921875000000000e+00,-1.396484375000000000e-01,-4.521484375000000000e-01,8.432617187500000000e-01,8.857421875000000000e-01,1.284179687500000000e+00,-5.141601562500000000e-01,5.606400000000000000e+04,5.657600000000000000e+04,5.785600000000000000e+04,2.073600000000000000e+04,3.335937500000000000e+00,7.000732421875000000e-02
-1.488494873046875000e-02,6.183624267578125000e-03,1.002929687500000000e+00,3.228759765625000000e-02,9.606933593750000000e-02,3.910064697265625000e-03,-5.859375000000000000e-02,-2.590179443359375000e-03,-1.869201660156250000e-02,-2.445312500000000000e+00,-1.375732421875000000e-01,-5.063476562500000000e-01,-1.643066406250000000e-01,2.971191406250000000e-01,2.027343750000000000e+00,-1.318359375000000000e-01,3.251200000000000000e+04,4.531200000000000000e+04,5.683200000000000000e+04,3.353600000000000000e+04,3.388671875000000000e+00,8.001708984375000000e-02
-1.303100585937500000e-02,1.567077636718750000e-02,1.002929687500000000e+00,3.436279296875000000e-02,1.151733398437500000e-01,1.006317138671875000e-02,-8.428955078125000000e-02,-4.318237304687500000e-03,-2.380371093750000000e-02,-2.794921875000000000e+00,-8.746337890625000000e-02,-5.371093750000000000e-01,2.236938476562500000e-02,-1.330566406250000000e-01,1.821289062500000000e+00,1.036132812500000000e+00,3.942400000000000000e+04,3.456000000000000000e+04,5.888000000000000000e+04,5.888000000000000000e+04,3.283203125000000000e+00,9.002685546875000000e-02
-1.198577880859375000e-02,2.052307128906250000e-02,1.002929687500000000e+00,3.518676757812500000e-02,1.298828125000000000e-01,1.687622070312500000e-02,-1.131591796875000000e-01,-5.622863769531250000e-03,-2.923583984375000000e-02,-3.076171875000000000e+00,5.953979492187500000e-02,-5.151367187500000000e-01,-1.801757812500000000e-01,1.149749755859375000e-02,2.216796875000000000e+00,7.143554687500000000e-01,3.276800000000000000e+04,3.865600000000000000e+04,5.811200000000000000e+04,5.427200000000000000e+04,3.326171875000000000e+00,9.997558593750000000e-02
